user_name,image_src,likes,caption,tags,time
Nigarika,static/Quotefancy-6361156-3840x2160.jpg,0,great minds something something,great people; quotes,2019-01-22 17:31:05.123797
s,static/Quotefancy-4674042-3840x2160.jpg,0,s,s,2019-01-22 06:34:44.801256
user7,static/arabian_sunset_camels-1280x720.jpg,0,sunset at its best,camel;desert;sunset,2019-01-22 06:15:47.266419
user5,static/bicycle-1280x720.jpg,0,checking,cycle,2019-01-22 06:15:16.017433
user2,static/city_of_love-wallpaper-1366x768.jpg,0,This picture does not need a caption,paris;eiffel tower,2019-01-22 06:14:54.248566
user2,static/el_capitan_yosemite_valley_4k-1280x800.jpg,0,nature,nature,2019-01-22 06:14:13.474084
user1,static/p1.jpeg,0,be happy,cheerful;hugs,2019-01-22 06:13:57.540511
user1,static/p2.jpeg,0,happiness!!!,joy;kind,2019-01-22 06:13:21.747376
user4,static/p3.jpeg,0,beauty of love,helpful;kind;rain,2019-01-22 06:12:55.628821
user3,static/Quotefancy-7521-3840x2160.jpg,0,life is life,motivation,2019-01-22 06:12:13.942339
user2,static/slide_1.jpeg,0,important,data analytics; r,2019-01-22 06:11:49.030439
User1,static/sunset_scenery-1280x720.jpg,0,it is just beautiful to see this,sunset;nature,2019-01-22 06:11:07.390511
